id,name,brand,category,rating,feedbacks,supplierRating,base_price,discount_price
814577455,"Кольцо для воздушной гимнастики. D= 100 см, цвет фиолетовый",,гимнастические кольца,5,1,4.9,9000.0,5027.0
174844144,Кольца гимнастические деревянные,KMSsport,гимнастические кольца,5,5,4.9,2552.0,715.0
287738728,Кольца гимнастические 2 в 1,,гимнастические кольца,5,15,4.7,2210.0,1266.0
534175567,Кольца гимнастические с перекладиной 2 в 1,Kampfer,гимнастические кольца,5,2,4.8,2210.0,2033.0
301186721,Кольца гимнастические,1000 Каталог,гимнастические кольца,0,0,4.8,15071.0,3014.0
1036403802,Деревянные гимнастические,special changs,гимнастические кольца,5,18,5.0,1618.0,1585.0
873706194,"Кольца тренировочные с зажимами для спорта, 1м",,гимнастические кольца,0,0,4.5,1297.0,690.0
550020331,Гимнастические кольца диаметр хвата 150 мм,,гимнастические кольца,0,0,4.6,3047.0,752.0
803832893,Кольца гимнастические,,гимнастические кольца,0,0,4.8,1000.0,623.0
863216914,"Кольцо для воздушной гимнастики без крепления, 80 см",,гимнастические кольца,5,3,4.7,11500.0,5982.0
480530698,Гимнастические кольца для кроссфита воркаута и турника,,гимнастические кольца,5,4,4.7,3178.0,1868.0
814555694,"Кольцо для воздушной гимнастики. D=90 см, цвет фиолетовый",Стальной король,гимнастические кольца,5,4,4.9,9000.0,5133.0
735525525,Гимнастические кольца,,гимнастические кольца,0,0,4.6,2381.0,1062.0
1205529381,Гимнастические кольца,,гимнастические кольца,0,0,4.5,1143.0,1119.0
94700057,Кольца для карабина для палочки гимнастической,INES,гимнастические кольца,5,61,4.8,399.0,182.0
1115770201,Гимнастические кольца черные и,hufuch,гимнастические кольца,5,1,5.0,1749.0,1251.0
233269788,100 Нержавеющее кольцо для воздушной гимнастики,UNIPLAZ,гимнастические кольца,5,1,4.7,18501.0,11063.0
150048218,"Качели трапеция спортивная,тарзанка,спортивный снаряд",Мой адрес,гимнастические кольца,5,174,4.9,1600.0,478.0
838789532,"Многофункциональные гимнастические кольца для спорта, 1м",,гимнастические кольца,0,0,4.5,1071.0,671.0
65204948,"Кольца гимнастические детские, взрослые",ПРОДУКЦИЯ,гимнастические кольца,4,10,4.9,5000.0,778.0
123337876,Гимнастические кольца пластиковые для детей для дома и дачи,Perfetto Sport,гимнастические кольца,5,4,4.9,2574.0,737.0
248802746,"Кольцо для воздушной гимнастики, D=80 см, цвет синий",Стальной король,гимнастические кольца,0,0,4.9,9000.0,5133.0
